Product ID,Product Name,Product Type,Product Code/SKU,Brand Name,Product Description,Price,Cost Price,Retail Price,Sale Price,Taxable Product?,Fixed Shipping Cost,Free Shipping,Product Warranty,Product Weight,Product Width,Product Height,Product Depth,Allow Purchases?,Product Visible?,Product Availability,Current Stock Level,Low Stock Level,Category,Product Image ID - 1,Product Image File - 1,Product Image Description - 1,Product Image Is Thumbnail - 1,Product Image Sort - 1,Product Image ID - 2,Product Image File - 2,Product Image Description - 2,Product Image Is Thumbnail - 2,Product Image Sort - 2,Product Image ID - 3,Product Image File - 3,Product Image Description - 3,Product Image Is Thumbnail - 3,Product Image Sort - 3,Product Image ID - 4,Product Image File - 4,Product Image Description - 4,Product Image Is Thumbnail - 4,Product Image Sort - 4,Product Image ID - 5,Product Image File - 5,Product Image Description - 5,Product Image Is Thumbnail - 5,Product Image Sort - 5,Product Image ID - 6,Product Image File - 6,Product Image Description - 6,Product Image Is Thumbnail - 6,Product Image Sort - 6,Product Image ID - 7,Product Image File - 7,Product Image Description - 7,Product Image Is Thumbnail - 7,Product Image Sort - 7,Product Image ID - 8,Product Image File - 8,Product Image Description - 8,Product Image Is Thumbnail - 8,Product Image Sort - 8,Product Image ID - 9,Product Image File - 9,Product Image Description - 9,Product Image Is Thumbnail - 9,Product Image Sort - 9,Product Image ID - 10,Product Image File - 10,Product Image Description - 10,Product Image Is Thumbnail - 10,Product Image Sort - 10,Product Image ID - 11,Product Image File - 11,Product Image Description - 11,Product Image Is Thumbnail - 11,Product Image Sort - 11,Product Image ID - 12,Product Image File - 12,Product Image Description - 12,Product Image Is Thumbnail - 12,Product Image Sort - 12,Product Image ID - 13,Product Image File - 13,Product Image Description - 13,Product Image Is Thumbnail - 13,Product Image Sort - 13,Product Image ID - 14,Product Image File - 14,Product Image Description - 14,Product Image Is Thumbnail - 14,Product Image Sort - 14,Product Image ID - 15,Product Image File - 15,Product Image Description - 15,Product Image Is Thumbnail - 15,Product Image Sort - 15,Product Image ID - 16,Product Image File - 16,Product Image Description - 16,Product Image Is Thumbnail - 16,Product Image Sort - 16,Product Image ID - 17,Product Image File - 17,Product Image Description - 17,Product Image Is Thumbnail - 17,Product Image Sort - 17,Product Image ID - 18,Product Image File - 18,Product Image Description - 18,Product Image Is Thumbnail - 18,Product Image Sort - 18,Product Image ID - 19,Product Image File - 19,Product Image Description - 19,Product Image Is Thumbnail - 19,Product Image Sort - 19,Search Keywords,Page Title,Meta Keywords,Meta Description,MYOB Asset Acct,MYOB Income Acct,MYOB Expense Acct,Product Condition,Show Product Condition?,Event Date Required?,Event Date Name,Event Date Is Limited?,Event Date Start Date,Event Date End Date,Sort Order
32,Gray Series V2 Kettlebell 4kg (8.8lb),P,GSV24,,"<p><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: medium;""><span style=""color: #888888;""><span style=""font-size: small;""><span style=""font-family: arial, helvetica, sans-serif;"">Gray Series Version 2 Kettlebells are a quality kettlebell at an incredible price. The new Gray Series Kettlebells are single cast and have a wider smooth thick 1.5-inch diameter handle for ideal use and comfort. A great design with a gray hammertone finish and a removable black rubber boot on the bottom of each kettlebell to protect flooring.&nbsp;&nbsp;Kettlebells are&nbsp;a key piece of equipment for&nbsp;any CrossFit enthusiast.&nbsp; Unlike your standard dumbbells, the center of mass of a kettlebells is beyond&nbsp;where the hand grips the weight.&nbsp; Kettlebells allow for swinging movements, which are not possible with traditional dumbbells, involving more muscle groups and is said to be more effective and yield better results.&nbsp;&nbsp;Perfect for bulk ordering customers and those who want a great kettlebell at a low price.</span></span></span></span></span></p>",22.99,11.5,29.95,0,1,0,0,,8.8,0,0,0,1,1,,0,0,Kettlebells,2,r/679/yhst-20483522292137_2097_287505005__68461.jpg,,,1,3,o/780/yhst-20483522292137_2097_287625067__28225.jpg,,,2,1,b/322/yhst-20483522292137_2097_287359922__46590.jpg,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kettlebell, 4kg, gray series, 8lb, 8.8lb",Nu Era: CrossFit Kettlebell 4kg,crossfit equipment kettlebell 4kg home gym,Nu Era Fitness supplies the highest quality CrossFit Kettlebells from 4kg to 48k-Everything you need to CrossFit-Free Shipping on all Packages!,,,,New,0,0,Delivery Date,0,0,0,1
33,Gray Series V2 Kettlebell 6kg (13.2lb),P,GSV26,,"<p><span style=""font-size: 8.5pt; color: black;""><span style=""font-family: times new roman,times;""><span style=""font-size: large;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: medium;""><span style=""color: #888888;""><span style=""font-size: small;""><span style=""font-family: arial, helvetica, sans-serif;"">Gray Series Version 2 Kettlebells are a quality kettlebell at an incredible price. The new Gray Series Kettlebells are single cast and have a wider smooth thick 1.5-inch diameter handle for ideal use and comfort. A great design with a gray hammertone finish and a removable black rubber boot on the bottom of each kettlebell to protect flooring.&nbsp;&nbsp;Kettlebells are&nbsp;a key piece of equipment for&nbsp;any CrossFit enthusiast.&nbsp; Unlike your standard dumbbells, the center of mass of a kettlebells is beyond&nbsp;where the hand grips the weight.&nbsp; Kettlebells allow for swinging movements, which are not possible with traditional dumbbells, involving more muscle groups and is said to be more effective and yield better results.&nbsp;&nbsp;Perfect for bulk ordering customers and those who want a great kettlebell at a low price.</span></span></span></span></span></span></span></span></p>",26.99,14.52,34.95,0,1,0,0,,13.2,0,0,0,1,1,,0,0,Kettlebells,5,k/227/yhst-20483522292137_2097_288862713__97725.jpg,,,1,6,z/963/yhst-20483522292137_2097_288797014__54173.jpg,,,2,4,h/949/yhst-20483522292137_2097_288702526__54534.jpg,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kettlebell, 6kg, gray series, 13, 13.2lb",Nu Era: CrossFit Kettlebell 6kg,crossfit equipment kettlebell 6kg home gym,Single cast-iron Kettlebells with smooth hammertone finish for superior grip training! 20% Off all Kettlebells for a limited time!,,,,New,0,0,Delivery Date,0,0,0,2
34,Gray Series V2 Kettlebell 8kg (17.6lb) (1/2 Pood) ,P,GSV28,,"<p><span style=""font-size: 8.5pt; color: black;""><span style=""font-family: times new roman,times;""><span style=""font-size: large;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: medium;""><span style=""color: #888888;""><span style=""font-size: small;""><span style=""font-family: arial, helvetica, sans-serif;"">Gray Series Version 2 Kettlebells are a quality kettlebell at an incredible price. The new Gray Series Kettlebells are single cast and have a wider smooth thick 1.5-inch diameter handle for ideal use and comfort. A great design with a gray hammertone finish and a removable black rubber boot on the bottom of each kettlebell to protect flooring.&nbsp;&nbsp;Kettlebells are&nbsp;a key piece of equipment for&nbsp;any CrossFit enthusiast.&nbsp; Unlike your standard dumbbells, the center of mass of a kettlebells is beyond&nbsp;where the hand grips the weight.&nbsp; Kettlebells allow for swinging movements, which are not possible with traditional dumbbells, involving more muscle groups and is said to be more effective and yield better results.&nbsp;&nbsp;Perfect for bulk ordering customers and those who want a great kettlebell at a low price.</span></span></span></span></span></span></span></span></p>",29.99,17.6,39.95,0,1,0,0,,17.6,0,0,0,1,1,,0,0,Kettlebells,7,w/258/yhst-20483522292137_2097_289798140__89388.jpg,,,0,8,b/413/yhst-20483522292137_2097_289668782__36695.jpg,,,1,9,u/785/yhst-20483522292137_2097_289507909__53566.jpg,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kettlebell, 8kg, gray series,17lb, 17.6lb, half pood, .5 pood, 1/2 pood, pood",Nu Era: CrossFit Kettlebell 8kg / .5 Pood,crossfit equipment kettlebell 8kg home gym pood,Nu Era Fitness  Gray Series Kettlebells on Sale Now for 20% Off for a Limited Time! CrossFit Kettlebell package discounts available!,,,,New,0,0,Delivery Date,0,0,0,3
35,Gray Series V2 Kettlebell 10kg (22lb),P,GSV210,,"<p><span style=""font-size: 8.5pt; color: black;""><span style=""font-family: times new roman,times;""><span style=""font-size: large;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: medium;""><span style=""color: #888888;""><span style=""font-size: small;""><span style=""font-family: arial, helvetica, sans-serif;"">Gray Series Version 2 Kettlebells are a quality kettlebell at an incredible price. The new Gray Series Kettlebells are single cast and have a wider smooth thick 1.5-inch diameter handle for ideal use and comfort. A great design with a gray hammertone finish and a removable black rubber boot on the bottom of each kettlebell to protect flooring.&nbsp;&nbsp;Kettlebells are&nbsp;a key piece of equipment for&nbsp;any CrossFit enthusiast.&nbsp; Unlike your standard dumbbells, the center of mass of a kettlebells is beyond&nbsp;where the hand grips the weight.&nbsp; Kettlebells allow for swinging movements, which are not possible with traditional dumbbells, involving more muscle groups and is said to be more effective and yield better results.&nbsp;&nbsp;Perfect for bulk ordering customers and those who want a great kettlebell at a low price.</span></span></span></span></span></span></span></span></p>",33.99,22,44.95,0,1,0,0,,22,0,0,0,1,1,,0,0,Kettlebells,11,r/943/yhst-20483522292137_2097_290793758__47491.jpg,,,1,12,n/569/yhst-20483522292137_2097_290864846__91749.jpg,,,2,10,i/749/yhst-20483522292137_2097_290695247__23343.jpg,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kettlebell, 10kg, gray series, 22lb, 20lb",Nu Era: CrossFit Kettlebell 10kg,crossfit equipment kettlebell 10kg home gym,Nu Era Fitness  Russian Kettlebells are constructed from a single iron-cast with a smooth finish for superior grip training. Bulk shipping rates available!,,,,New,0,0,Delivery Date,0,0,0,4
36,Gray Series V2 Kettlebell 12kg (26.4lb) ,P,GSV212,,"<p><span style=""font-size: 8.5pt; color: black;""><span style=""font-family: times new roman,times;""><span style=""font-size: large;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: medium;""><span style=""color: #888888;""><span style=""font-size: small;""><span style=""font-family: arial, helvetica, sans-serif;"">Gray Series Version 2 Kettlebells are a quality kettlebell at an incredible price. The new Gray Series Kettlebells are single cast and have a wider smooth thick 1.5-inch diameter handle for ideal use and comfort. A great design with a gray hammertone finish and a removable black rubber boot on the bottom of each kettlebell to protect flooring.&nbsp;&nbsp;Kettlebells are&nbsp;a key piece of equipment for&nbsp;any CrossFit enthusiast.&nbsp; Unlike your standard dumbbells, the center of mass of a kettlebells is beyond&nbsp;where the hand grips the weight.&nbsp; Kettlebells allow for swinging movements, which are not possible with traditional dumbbells, involving more muscle groups and is said to be more effective and yield better results.&nbsp;&nbsp;Perfect for bulk ordaering customers and those who want a great kettlebell at a low price.</span></span></span></span></span></span></span></span></p>",38.99,26.4,50.95,0,1,0,0,,26.4,0,0,0,1,1,,0,0,Kettlebells,14,y/912/yhst-20483522292137_2097_291300099__49174.jpg,,,1,15,y/662/yhst-20483522292137_2097_291166632__59422.jpg,,,2,13,u/195/yhst-20483522292137_2097_291022061__11442.jpg,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kettlebell, 12kg, gray series, 26.4lb, 26lb",Nu Era: CrossFit Kettlebell 12kg,crossfit equipment kettlebell 12kg home gym,"Explosive Kettlebell training with Nu Era Fitness  Fitness' Kettlebells. Perfect design for Kettlebell swings, kettlebell snatches, and kettlebell cleans!",,,,New,0,0,Delivery Date,0,0,0,5
37,Gray Series V2 Kettlebell 14kg (30.8lb),P,GSV214,,"<p><span style=""font-size: 8.5pt; color: black;""><span style=""font-family: times new roman,times;""><span style=""font-size: large;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: medium;""><span style=""color: #888888;""><span style=""font-size: small;""><span style=""font-family: arial, helvetica, sans-serif;"">Gray Series Version 2 Kettlebells are a quality kettlebell at an incredible price. The new Gray Series Kettlebells are single cast and have a wider smooth thick 1.5-inch diameter handle for ideal use and comfort. A great design with a gray hammertone finish and a removable black rubber boot on the bottom of each kettlebell to protect flooring.&nbsp;&nbsp;Kettlebells are&nbsp;a key piece of equipment for&nbsp;any CrossFit enthusiast.&nbsp; Unlike your standard dumbbells, the center of mass of a kettlebells is beyond&nbsp;where the hand grips the weight.&nbsp; Kettlebells allow for swinging movements, which are not possible with traditional dumbbells, involving more muscle groups and is said to be more effective and yield better results.&nbsp;&nbsp;Perfect for bulk ordering customers and those who want a great kettlebell at a low price.</span></span></span></span></span></span></span></span></p>",42.99,30.8,56.95,0,1,0,0,,30.8,0,0,0,1,1,,0,0,Kettlebells,390,y/347/14kg_Russian_Kettlebell_-_Hammertone_Finish_for_Perfect_Grip__49915.jpg,,,1,391,g/822/Single_Case_Kettlebell_for_Full-body_functional_training__24422.jpg,,,2,389,d/269/14kg_CrossFit_Kettlebell_from_Nu_Era_Fitness__85172.jpg,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kettlebell, 14kg, gray series, 30.8lb, 30lb",Nu Era: CrossFit Kettlebell 14kg,crossfit equipment kettlebell 14kg home gym,#1 supplier of Kettlebells to Fire and Police Departments! Emergency Response and Civil Service discounts available on all orders!,,,,New,0,0,Delivery Date,0,0,0,6
38,Gray Series V2 Kettlebell 16kg (35.2lb) (1 Pood),P,GSV216,,"<p><span style=""font-size: 8.5pt; color: black;""><span style=""font-family: times new roman,times;""><span style=""font-size: large;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: medium;""><span style=""color: #888888;""><span style=""font-size: small;""><span style=""font-family: arial, helvetica, sans-serif;"">Gray Series Version 2 Kettlebells are a quality kettlebell at an incredible price. The new Gray Series Kettlebells are single cast and have a wider smooth thick 1.5-inch diameter handle for ideal use and comfort. A great design with a gray hammertone finish and a removable black rubber boot on the bottom of each kettlebell to protect flooring.&nbsp;&nbsp;Kettlebells are&nbsp;a key piece of equipment for&nbsp;any CrossFit enthusiast.&nbsp; Unlike your standard dumbbells, the center of mass of a kettlebells is beyond&nbsp;where the hand grips the weight.&nbsp; Kettlebells allow for swinging movements, which are not possible with traditional dumbbells, involving more muscle groups and is said to be more effective and yield better results.&nbsp;&nbsp;Perfect for bulk ordering customers and those who want a great kettlebell at a low price.</span></span></span></span></span></span></span></span></p>",46.99,33.44,60.95,0,1,0,0,,35.2,0,0,0,1,1,,0,0,Kettlebells,386,k/418/16kg_Russian_Style_Kettlebell__92926.jpg,"Turkish Get Up
This three-step movement uses all major and minor muscle groups for a full-body workout. Lie on your back and use both hands to position the kettlebell so it rests on the back of your forearm. Keep the kettlebell in this locked position at all times. Bring one leg into your body, and use that leg to pivot to the opposite side of your body. If you use your right leg, pivot to your left. Use that same foot and your free hand to drive your body forward until you are in the lowest position of a standard lunge. Tighten your core and use all of your force to stand to your feet.",,2,388,e/153/CrossFit_Equipment_-_16kg_Kettlebell__91943.jpg,"Kettlebell Windmill
Place one arm overhead and bend at the waist as your pick up the kettlebell. With your legs wider than shoulder-width, bend at your waist and let the kettlebell touch the ground as your look up at your hand extended over your head. Bend from your hips and keep your back flat as you lower and raise the kettlebell. This move is great for your obliques and hamstrings. For a challenge, hold another kettlebell in the hand over your head.",,1,387,t/553/CrossFit_1_Pood_Kettlebell_for_all_CrossFit_Benchmark_Workouts__35314.jpg,"One Arm Kettlebell Swing
Slightly bend at the waist and knees and hold the kettlebell between your legs. Swing the kettlebell backward, and forcefully swing it to chest level as you stand straight up. As a challenge, quickly switch hands and catch the kettlebell in the air when you raise it to chest level and continue alternating hands as you rise.",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kettlebell, 16kg, gray series, 35.2lb, 35lb, one pood,  1 pood, pood",Nu Era: CrossFit Kettlebell 16kg / 1 Pood,crossfit equipment kettlebell 16kg home gym pood,Get the entire Kettelbell Pood Series-1/2 through 3 Pood available-Start your Kettlebell training today with Nu Era Fitness  Kettlebells,,,,New,0,0,Delivery Date,0,0,0,7
39,Gray Series V2 Kettlebell 18kg (39.6lb),P,GSV218,,"<p><span style=""font-size: 8.5pt; color: black;""><span style=""font-family: times new roman,times;""><span style=""font-size: large;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: medium;""><span style=""color: #888888;""><span style=""font-size: small;""><span style=""font-family: arial, helvetica, sans-serif;"">Gray Series Version 2 Kettlebells are a quality kettlebell at an incredible price. The new Gray Series Kettlebells are single cast and have a wider smooth thick 1.5-inch diameter handle for ideal use and comfort. A great design with a gray hammertone finish and a removable black rubber boot on the bottom of each kettlebell to protect flooring.&nbsp;&nbsp;Kettlebells are&nbsp;a key piece of equipment for&nbsp;any CrossFit enthusiast.&nbsp; Unlike your standard dumbbells, the center of mass of a kettlebells is beyond&nbsp;where the hand grips the weight.&nbsp; Kettlebells allow for swinging movements, which are not possible with traditional dumbbells, involving more muscle groups and is said to be more effective and yield better results.&nbsp;&nbsp;Perfect for bulk ordering customers and those who want a great kettlebell at a low price.</span></span></span></span></span></span></span></span></p> <p><span style=""font-family: times new roman,times;""><span style=""font-size: large;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: medium;"">&nbsp;</span></span></span></span></p>",50.99,37.62,66.95,0,1,0,0,,39.6,0,0,0,1,1,,0,0,Kettlebells,384,t/349/CrossFit_Kettlebell_Sale_-_20%_Off_all_Kettlebells__99331.jpg,"Kettlebell Snatch
Place the kettlebell on the floor between your feet. Bend your knees and push your hips back, keeping your butt low to the ground. Swing the kettlebell back between your legs and immediately flip your grip so that the kettlebell rests on the back of your forearm. Quickly pull the kettlebell to your chest as if you are starting a lawn mower. Since this snatch movement is quick, control the weight so as not to bang your wrist or chest.",,1,385,s/974/New_Russian_Kettlebell_perfect_for_Turkish_Get-up_and_Kettlebell_Swings__59818.jpg,"Kettlebell Clean and Press
Place the kettlebell on the floor and stand with your feet shoulder-width apart, and your knees slightly bent. Grasp the kettlebell with one hand and raise it to your chest, flipping it over your hand so it rests on your forearm. In order to ""clean"" the kettlebell, you must use explosive power in your hips, knees and ankles. Once you raise the kettlebell to your chest, tighten your core muscles and raise it over your head. This is a compound movement that targets your quadriceps and shoulders, while requiring stabilization from your core, back, hips and ankles.",,2,383,o/728/18kg_CrossFit_Kettlebell_-_Great_for_Home_Gym__98646.jpg,"Kettlebell Crossfit training combines cardio and strength through compound movements. This type of training is different from conventional routines that tend to focus on major muscle groups in isolation. If you want to build a toned body and stimulate all muscle groups simultaneously, try Kettlebell Crossfit training.",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kettlebell, 18kg, gray series, 39.6lb, 40lb, 39lb",Nu Era: CrossFit Kettlebell 18kg,crossfit equipment kettlebell 18kg home gym,Men's and Women's Kettlebell proscribed (Rx) CrossFit weights- 1/2 Pood through 3 Pood- Get your Pood on with 20% Off all Kettlebells!,,,,New,0,0,Delivery Date,0,0,0,8
40,Gray Series V2 Kettlebell 20kg (44lb),P,GSV220,,"<p><span style=""font-size: 8.5pt; color: black;""><span style=""font-family: times new roman,times;""><span style=""font-size: large;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: medium;""><span style=""color: #888888;""><span style=""font-size: small;""><span style=""font-family: arial, helvetica, sans-serif;"">Gray Series Version 2 Kettlebells are a quality kettlebell at an incredible price. The new Gray Series Kettlebells are single cast and have a wider smooth thick 1.5-inch diameter handle for ideal use and comfort. A great design with a gray hammertone finish and a removable black rubber boot on the bottom of each kettlebell to protect flooring.&nbsp;&nbsp;Kettlebells are&nbsp;a key piece of equipment for&nbsp;any CrossFit enthusiast.&nbsp; Unlike your standard dumbbells, the center of mass of a kettlebells is beyond&nbsp;where the hand grips the weight.&nbsp; Kettlebells allow for swinging movements, which are not possible with traditional dumbbells, involving more muscle groups and is said to be more effective and yield better results.&nbsp;&nbsp;Perfect for bulk ordering customers and those who want a great kettlebell at a low price.</span></span></span></span></span></span></span></span></p>",54.99,39.6,72.95,0,1,0,0,,44,0,0,0,1,1,,0,0,Kettlebells,380,z/280/20kg_Russian_Kettlebell_for_Sale_at_Nu_Era_Fitness__69915.jpg,"Don’t look down as you do your Kettlebell work but don’t look up either. Keep your eyes facing forward. The exception here is when doing things like the Turkish Get-up, the squat snatch or other similar lifts where you have to look at the kettlebell.",,1,381,h/263/High_Quality_CrossFit_Kettlebell__98812.jpg,"Take your kettlebell for a walk. Rather than just hanging out in place try some walking swings for a change of pace. Just as you get to the top of your arc take a quick step with each foot winding up with your  feet side by side again as the bell goes back down. Be sure to step with the same foot first each time so you don’t have to think about your feet. Begin with just a few steps on a flat, level surface then add  more steps, then go up hill then try stairs.",,2,382,l/119/Military_Grade_CrossFit_Kettlebell_-_20%_discount_on_ALL_Nu_Era_Kettlebells__23772.jpg,If you are going to clean or snatch your kettlebell grip it all the way to the horn (that’s the vertical part that sticks up out of the round part of the kettlebell) on the thumb side of your grip. This way when you clean the bell the handle will be sitting at an angle downward and away from your thumb and on the heel of your palm.,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kettlebell, 20kg, gray series, 44lb",Nu Era: CrossFit Kettlebell 20kg,crossfit equipment kettlebell 20kg home gym,Complete your CrossFit Home Gym with Kettlebells of all sizes (8lb to 105lb). 20% discount available on CrossFit Kettlebell Starter Set!,,,,New,0,0,Delivery Date,0,0,0,9
41,Gray Series V2 Kettlebell 24kg (52.8lb) (1 1/2 Pood),P,GSV224,,"<p><span style=""font-size: 8.5pt; color: black;""><span style=""font-family: times new roman,times;""><span style=""font-size: large;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""font-size: medium;""><span style=""color: #888888;""><span style=""font-size: small;""><span style=""font-family: arial, helvetica, sans-serif;"">Gray Series Version 2 Kettlebells are a quality kettlebell at an incredible price. The new Gray Series Kettlebells are single cast and have a wider smooth thick 1.5-inch diameter handle for ideal use and comfort. A great design with a gray hammertone finish and a removable black rubber boot on the bottom of each kettlebell to protect flooring.&nbsp;&nbsp;Kettlebells are&nbsp;a key piece of equipment for&nbsp;any CrossFit enthusiast.&nbsp; Unlike your standard dumbbells, the center of mass of a kettlebells is beyond&nbsp;where the hand grips the weight.&nbsp; Kettlebells allow for swinging movements, which are not possible with traditional dumbbells, involving more muscle groups and is said to be more effective and yield better results.&nbsp;&nbsp;Perfect for bulk ordering customers and those who want a great kettlebell at a low price.</span></span></span></span></span></span></span></span></p>",63.99,47.52,82.95,0,1,0,0,,52.8,0,0,0,1,1,,0,0,Kettlebells,29,w/738/yhst-20483522292137_2097_298561979__11411.jpg,,,1,30,p/633/yhst-20483522292137_2097_298432088__52313.jpg,,,2,28,x/923/yhst-20483522292137_2097_298295526__48648.jpg,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kettlebell, 24kg, gray series, 52.8lb, 52lb, 53lb, 1.5 pood, one and a half pood, 1 1/2 pood, pood",Nu Era: CrossFit Kettlebell 24kg / 1.5 Pood,crossfit equipment kettlebell 24kg home gym pood,Military ready Kettlebells!  Perfect for Physical Training (PT) sessions & preparing forces for deployment! Military discount on all orders!,,,,New,0,0,Delivery Date,0,0,0,10
